 1.239670  0.874530 -0.205109 -0.0781367  0.066867  0 
 0.268281  1.351780  1.035080 -0.331522  0.216897  0 
 1.566560  0.867437  1.299780  1.041250  0.559406  0 
 0.279295  0.989630  2.554790 -0.737988  0  0 
 0.306809  1.272370  2.655580 -0.946160 -0.467142  0 
 0.960418  0.711808 -0.142762  0.0909495 -0.0607071  0 
 2.940710  0.656873  1.493180 -0.331060 -0.123295  0 
 0.400601  1.159040  2.064480 -0.689609 -0.308052  0 
 0.228973  1.747980  0.633643  0.259204  0  0 
 0.302891  0.608544  0.474130  1.427180 -0.811085  1 
 0.318095  0.810884  0.818231  0.820952  0.860136  1 
 0.655083  1.053900  1.371630 -0.723877  1.770210  1 
 0.104800  0.575600  0.342400  0.830400  0  1 
 0.540984  2.145100 -0.561563 -0.227764 -0.140565  1 
 1.404180  1.531190  0.476107  1.600600 -0.424296  0 
 0.532035  1.962920 -0.355316  0.191035 -0.122272  0 
 0.108376  0.464470  1.302100  1.080190 -0.348948  0 
 0.807150  2.226720 -0.555974 -0.224835  0.160865  0 
 1.039410  2.271080  1.698930 -0.369170 -0.167506  1 
 0.316114  1.359540  1.986420 -0.624203  0.496604  0 
